scheduled_date,player_name,position,team_market,rec_rec,rec_yds,targets,grades_pass_route,pff_snaps,avg_depth_of_target,drop_rate,route_rate,slot_rate,wide_rate,yards_per_reception,yprr
2024-09-07,Terry Lockett Jr.,WR,Eastern Michigan,1,6,79.0,66.3,819.0,12.7,8.0,93.7,15.9,83.9,14.5,1.49
2024-09-07,Giles Jackson,WR,Washington,1,1,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Markus Allen,WR,Eastern Michigan,1,0,66.0,68.0,611.0,12.0,6.5,93.3,9.3,90.7,15.1,2.02
2024-09-07,Giles Jackson,WR,Washington,1,12,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Keleki Latu,TE,Washington,1,7,48.0,72.0,777.0,5.1,0.0,71.5,16.0,6.7,9.3,1.12
2024-09-07,Beaux Collins,WR,Notre Dame,1,7,64.0,58.5,670.0,11.0,14.6,93.4,19.0,80.5,12.0,1.38
2024-09-07,Jaden Greathouse,WR,Notre Dame,1,8,53.0,75.7,493.0,9.2,2.3,94.1,94.1,5.6,14.1,2.08
2024-09-07,Mitchell Evans,TE,Notre Dame,1,14,59.0,65.9,554.0,6.7,6.5,87.2,57.8,12.2,9.7,1.39
2024-09-07,Jaden Greathouse,WR,Notre Dame,1,11,53.0,75.7,493.0,9.2,2.3,94.1,94.1,5.6,14.1,2.08
2024-09-07,Beaux Collins,WR,Notre Dame,1,15,64.0,58.5,670.0,11.0,14.6,93.4,19.0,80.5,12.0,1.38
2024-09-07,Mitchell Evans,TE,Notre Dame,1,12,59.0,65.9,554.0,6.7,6.5,87.2,57.8,12.2,9.7,1.39
2024-09-07,Beaux Collins,WR,Notre Dame,1,6,64.0,58.5,670.0,11.0,14.6,93.4,19.0,80.5,12.0,1.38
2024-09-07,Jaden Greathouse,WR,Notre Dame,1,11,53.0,75.7,493.0,9.2,2.3,94.1,94.1,5.6,14.1,2.08
2024-09-07,Cam Thompson,WR,Northern Illinois,1,12,48.0,61.2,497.0,15.5,3.4,96.7,6.2,93.8,14.0,1.32
2024-09-07,Jaden Greathouse,WR,Notre Dame,1,9,53.0,75.7,493.0,9.2,2.3,94.1,94.1,5.6,14.1,2.08
2024-09-07,Grayson Barnes,TE,Northern Illinois,1,13,54.0,63.1,406.0,7.9,11.4,92.1,48.4,5.0,10.9,1.32
2024-09-07,Jaden Greathouse,WR,Notre Dame,1,2,53.0,75.7,493.0,9.2,2.3,94.1,94.1,5.6,14.1,2.08
2024-09-07,Beaux Collins,WR,Notre Dame,1,8,64.0,58.5,670.0,11.0,14.6,93.4,19.0,80.5,12.0,1.38
2024-09-07,Beaux Collins,WR,Notre Dame,1,9,64.0,58.5,670.0,11.0,14.6,93.4,19.0,80.5,12.0,1.38
2024-09-07,Petey Tucker,WR,Georgia State,1,3,47.0,58.8,511.0,7.8,14.3,93.0,18.7,81.3,10.8,1.07
2024-09-07,Dorian Fleming,TE,Georgia State,1,4,75.0,69.3,726.0,7.7,7.4,85.7,54.0,4.9,11.3,1.42
2024-09-07,Ted Hurst,WR,Georgia State,1,17,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Michel Dukes,RB,Georgia State,1,7,48.0,80.5,325.0,0.0,4.4,82.5,7.9,10.1,8.3,1.91
2024-09-07,Petey Tucker,WR,Georgia State,1,11,47.0,58.8,511.0,7.8,14.3,93.0,18.7,81.3,10.8,1.07
2024-09-07,Dorian Fleming,TE,Georgia State,1,6,75.0,69.3,726.0,7.7,7.4,85.7,54.0,4.9,11.3,1.42
2024-09-07,Dorian Fleming,TE,Georgia State,1,13,75.0,69.3,726.0,7.7,7.4,85.7,54.0,4.9,11.3,1.42
2024-09-07,Dorian Fleming,TE,Georgia State,1,5,75.0,69.3,726.0,7.7,7.4,85.7,54.0,4.9,11.3,1.42
2024-09-07,Michel Dukes,RB,Georgia State,1,9,48.0,80.5,325.0,0.0,4.4,82.5,7.9,10.1,8.3,1.91
2024-09-07,Petey Tucker,WR,Georgia State,1,13,47.0,58.8,511.0,7.8,14.3,93.0,18.7,81.3,10.8,1.07
2024-09-07,Ted Hurst,WR,Georgia State,1,19,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Ted Hurst,WR,Georgia State,1,22,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Ted Hurst,WR,Georgia State,1,7,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Michel Dukes,RB,Georgia State,1,8,48.0,80.5,325.0,0.0,4.4,82.5,7.9,10.1,8.3,1.91
2024-09-07,Ted Hurst,WR,Georgia State,1,10,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Ted Hurst,WR,Georgia State,1,8,100.0,73.7,764.0,17.2,9.7,93.7,18.5,81.5,17.2,2.09
2024-09-07,Joe Royer,TE,Cincinnati,1,1,75.0,68.7,657.0,8.3,3.8,87.6,49.8,1.5,10.4,1.48
2024-09-07,Gavin Bartholomew,TE,Pittsburgh,1,13,51.0,62.1,680.0,4.8,7.3,90.6,23.3,25.7,8.5,0.8
